Test Time / s,Unix Time / s,Voltage / V,Current / A,Cycle Count / 1,Ambient Temperature / degC,Power / W,Capacity / %
18060.28639149666,1781012040,3.7,0.0,0,25.0,0.0,100.0
18120.287498235703,1781012100,3.7,0.0,0,25.0,0.0,100.0
18180.288692712784,1781012160,3.7,0.0,0,25.0,0.0,100.0
18240.289796352386,1781012220,3.7,0.0,0,25.0,0.0,100.0
18300.290914297104,1781012280,3.7,0.0,0,25.0,0.0,100.0
18360.29156422615,1781012340,3.7,0.0,0,25.0,0.0,100.0
18420.29279255867,1781012400,3.7,0.0,0,25.0,0.0,100.0
18480.2940325737,1781012460,3.7,0.0,0,25.0,0.0,100.0
18540.295162916183,1781012520,3.7,0.0,0,25.0,0.0,100.0
18600.296282052994,1781012580,3.7,0.0,0,25.0,0.0,100.0
18660.29693055153,1781012640,3.7,0.0,0,25.0,0.0,100.0
18720.298050403595,1781012700,3.7,0.0,0,25.0,0.0,100.0
18780.299212932587,1781012760,3.7,0.0,0,25.0,0.0,100.0
18840.300364494324,1781012820,3.7,0.0,0,25.0,0.0,100.0
18900.30149245262,1781012880,3.7,0.0,0,25.0,0.0,100.0
18960.302369356155,1781012940,3.7,0.0,0,25.0,0.0,100.0
19020.304208278656,1781013000,3.7,0.0,0,25.0,0.0,100.0
19080.30582356453,1781013060,3.7,0.0,0,25.0,0.0,100.0
19140.306510686874,1781013120,3.7,0.0,0,25.0,0.0,100.0
19200.307136535645,1781013180,3.7,0.0,0,25.0,0.0,100.0
19260.30826497078,1781013240,3.7,0.0,0,25.0,0.0,100.0
19320.309180021286,1781013300,3.7,0.0,0,25.0,0.0,100.0
19380.310441493988,1781013360,3.7,0.0,0,25.0,0.0,100.0
5.7220458984375e-06,1781111609,3.7,0.0,0,25.0,0.0,100.0
60.002867221832275,1781111669,3.7,0.0,0,25.0,0.0,100.0
120.00423741340637,1781111729,3.7,0.0,0,25.0,0.0,100.0
180.0053915977478,1781111789,3.7,0.0,0,25.0,0.0,100.0
240.00597834587097,1781111849,3.7,0.0,0,25.0,0.0,100.0
300.00725865364075,1781111909,3.7,0.0,0,25.0,0.0,100.0
360.00834131240845,1781111969,3.7,0.0,0,25.0,0.0,100.0
420.00930094718933,1781112029,3.7,0.0,0,25.0,0.0,100.0
480.01054978370667,1781112089,3.7,0.0,0,25.0,0.0,100.0
540.0117378234863,1781112149,3.7,0.0,0,25.0,0.0,100.0
600.0130338668823,1781112209,3.7,0.0,0,25.0,0.0,100.0
660.0142118930817,1781112269,3.7,0.0,0,25.0,0.0,100.0
720.0153002738953,1781112329,3.7,0.0,0,25.0,0.0,100.0
780.0162107944489,1781112389,3.7,0.0,0,25.0,0.0,100.0
840.0176153182983,1781112449,3.7,0.0,0,25.0,0.0,100.0
900.018346786499,1781112509,3.7,0.0,0,25.0,0.0,100.0
960.0192646980286,1781112569,3.7,0.0,0,25.0,0.0,100.0
1020.0205249786377,1781112629,3.7,0.0,0,25.0,0.0,100.0
1080.0217218399048,1781112689,3.7,0.0,0,25.0,0.0,100.0
1140.0229015350342,1781112749,3.7,0.0,0,25.0,0.0,100.0
1200.0241513252258,1781112809,3.7,0.0,0,25.0,0.0,100.0
1260.025326013565,1781112869,3.7,0.0,0,25.0,0.0,100.0
1320.0264728069305,1781112929,3.7,0.0,0,25.0,0.0,100.0
